,0
1294,시골로 가서 살어~ 3000이면 충분하단다^^ 외국인냄비랑 동거하면서 코도풀고...그렇게사는거지 인생뭐있나~''
1295,요즘 취업도 힘들고 취업해도 전셋방이라도 구해야 결혼을 할텐데 폭등했지. 세금도 폭등해서 애기낳고 집안이 경제적으로 굴러갈지 고민하다가 안될거같으니 포기 하는거다. 문가놈이 다 망쳐놨다.
1296,문씨 뽑아준 20대. 30대 살기너무힘들다.. 믿었었는데...
1297,일본의 사회이슈를 한국이 뒤이어간다는 논리가 있지요. 스페셜 다큐방송에서 일본의 빈집에 대한 다큐를 봤는데 일본의 인구감소 고령화가 빈집과 집값 폭락을 불러왔고 이젠 부모의 집을 물려받는게 재산을 물려받는게 아닌 빚을 물려받는 시대가 되었다는 ...조만간은 아니겠고 20~30년 지나면 일본 도쿄 인근의 빈집 30%가 한국 수도권이 될지도...집값을 올리는건 실수요자가 아닌 3채 이상의 다주택자들의 추가부동산 구매때문이라하니. 쩝~
1298,이러다 중국처럼 아파트 방하나에 한가구씩 들어가 살겠네
1299,과도한 증세는 결국 서민들이 더 고통 받습니다. 소비가줄고 기업투자가 줄어들죠. 푼돈에 넘어가는 조삼모사가 되지 말기를..
1300,왜또 20대들만지원해주게? 그딴생각집어쳐
1301,그냥나라에서 집한채씩 줬음~~ 그럼 집걱장없이 살겠구만 ~~
1302,벼락거지
1303,어쩌라고?
1304,예전엔 원룸 살면 굳이 주민등록 안옮겼는데 요즘은 다 옮기잖어.. 20대때 학업이나 직장때문에 원룸 얻어사는게 왜 사회문제가 되나? 40대 이상이면 모를까... 60이상 노년층이 월세사는 1인가구가 많으면 이거야 말로 큰문제지.. 왜냐면 그 노인네들이 불쌍해서도 있지만 중요한건 그게 니들 미래일 가능성이 크니까.. 그게 싫으면 미리 고쳐야 할거 아니냐.. 걍 난 늙어서 쪽방에 월세 살다가 자살해도 좋으니 이십대한테 아파트한채씩 주자~ 라는 의견이 대세면 뭐 할수 없고..
1305,정부가 원하는대로 되어가는군~~~
1306,더 늘어날 것이야~ 변씨가 임대주택 늘린다드라..
1307,재앙이는 어느나라 정권을 망라하고 조선족 외국인 불체자들을 국민보다 끔찍하게 좋아하고 환장하는 덜 떨어진 늠이자 대한민국을 이끌어서는 절대로 안되는 자였다....그 조선족 외국인 용비어천가부른 원조는 노구리...같은 좌8늠들인디..다음 선거때는 잘해라..니 자식들을 이런 온갖 수레기외국인 따문화로 우글거리는 나라로 살게 하지 않으려면...
1308,혼자살기도바쁘다
1309,국회사람들이6평원ㅇ룸에월세로살아봐야체감됨
1310,나라에서 전세자금 대출 백프로 해주고 세입자가 은행이랑 나라에 돈 갚게 해주면 안되나... 아 이거 빨갱이 마인드인가
1311,문재인이 원하는대로 가고 있다!
1312,월세는 아무나 사냐고 ㅜㅜ 전세 월세 미치겠다ㅜ
1313,1인가구 월세사는 사람 태반이 대깨문 아재들 일텐데 불쌍 ㅜㅜ
1314,1인가구 지원해주려고 호텔방 개조해 줬잖아 거기 들어가 살아
1315,월세를 내는 동시에 월세를 받는 가구는 빼야 하는거 아닌가요?
1316,월세 사는게 뭐 어때서ㅋㅋ 외국은 당연한 일인데
1317,^~^
1318,1인가구 문제 심각합니다.결혼을 하려고 해도 여자분들 자기 30대 초반에 멋부릴거 다부리고 모아놓은 돈 없이 남자 30대 전세 내지는 집 사서 결혼하길 원합니다.남자들 군에 갔다 오고 취직 늦게 하는데 어찌 3~4억 전세를 부모 도움없이얻을수 있나요?아니면 결혼 보이코트입니다.이게 한국 현실입니다.여자들이 정신 차리지 않고 정부가 집값 잡지 못하면 대한민국 망하는것 불보듯 뻔 합니다.그냥 결혼없이 혼자 자식들이 살아가야 하는것 지켜봐야 하는건지.참으로 암담한 현실입니다.
1319,요즘에 혼자 집 못합니다 결혼하고 초음부터 차근차근 모아서 집을마련하는 방향으로 가야합니다^^
1320,국가에 지금 필요한건 새로태어날 인구다. 우리나라가 가장 급하게 직면한 문제는 출산률 저하. 그런데 출산은 커녕 혼인도 하지않은 1인 가구를 위한 부동산 정책을 위해 다른 정상가구가 피해를 봐야하는가?
1321,차근차근밝아가세요 집가진사람도그러했으니
1322,독신자가 기혼자의 수를 넘어 사회적 다수가 되는 그 날은 나는 희구한다
1323,이제는 월세도 못내서 일할 때 쓰는 차에서 살아야될 듯
1324,1인가구 절반은 주소지만옮겨놓은사람이 대부분인데.. 분양받을라고 ㅋㅋㅋ
1325,그래서 월세정책 추진하는 문정부를 지지하면 평생 월세산다
1326,일본이냐...
1327,뭐 대단한 일이라고 그럼 100프로 자가에 살면 그게 신천지고 새누리지 안그려?
1328,서울에서 떠나라 지방으로 가는게 답이다
1329,무주택자가 유주택자 죽이고 집 빼앗어도 되는 법을 만들자...
1330,정말ᆢ요즘같아선 살아가고싶단 생각이 들지않음
1331,결혼할때 말이지 부부가 1~2억이라도 있으면 현재는 저금리 상태이니 대출로 전세로 아파트를 가던 매입해서 아파트로 가던 좀 멀지만 수도권으로 가면 된다. 대신 경제 공부 좀 하고. 그렇게 단계단계 오는거야 금수저 빼고는 다 그렇게 인내하고 공부하고 견디며 자산 키워 가는거다. 세상에 공짜 없어
1332,1인가구가 원룸 월세 사는게 문제 있는건가? 능력이 되는데로 원룸 월세라는데... 국가가 전세 살라고 돈빌리는데 보증서 주는데 빚내기 싫다고 월세사는건데.... 문제라도 있는건가?
1333,예전처럼 정말 집이없는사람 이자만주고 집좀 사게 해주라 썩을것들아 추워서 못살겠다
1334,내 보기에 비혼출산은 한부모가정의 한종류일뿐.. 남자를 잘못 만났나보구나.... 그런 생각만 들던데.. 뭐 멋진것처럼 왜들 그런대요.....
1335,"전수진 기자님의 인생은 여자로서, 어머니로서 성공적이었는지 궁금하네요."
1336,"한국인이 자멸하는 중인 것이다. 가치관이란 개인에게 유익하나 공동체에 해로운 것도 있고, 공동체에 유익하나 개인에게 해로운 것도 있다. 어느 가치관이든 이를 수용하면 그런 가치관이 만드는 사회에서 살아가는 자체에서 스트레스를 받지 않는다. 어느 가치관이든 이를 거부하면 그런 가치관이 만드는 사회에서 살아가는 자체에서 스트레스를 받는다. 이러한 현상은 일체유심조일 뿐이다."
1337,"탈가족적 가치관으로 진행한다는 것은 결국 어미의 본능적인 아동보호라는 진화적 산물인 가족사회의 종언을 고하고, 사회가 요구하는 아동보호에 의존하는 사회적인 아동보호라는 변덕스러운 아도보호로 탈선함으로써 결국 당해 종족의 멸종을 예정하는 선택으로 될 것이다. 여성들이 제사에 참여하는 것은 귀찮지만 참여자에게 가져다주는 인간적인 혜택도 그만큼 있다. 대개 손익은 똔똔이다. 여성들이 제사에 참여하지 않는 것도 그 반대로 뒤집어서 똔똔이다. 둘 다 똔똔일 뿐이다. 귀찮음과 귀찮지 않음만을 비교하여 모든 것으로 인식하게 하는 것이 문제다."
1338,중앙일보 왜 이럽니까!!비혼출산을 장려하십니까!! 비혼출산으로 인한 아이들의 정체성과 아빠의 부재와 아이의 입장에 대한 자세한 내용은 없습니까!! 해외 일본등 비혼출산으로 인한 아이들의 입장에 대해 취재하여 주시기 바랍니다!! 요즘 다양한 가족을 인정하라고 하는 건강가정기본법 개정안을 반대합니다! 가족개념을 해체하면 동성혼이들어올 수 있고 이성과양심으로 일처다부 일부다처등 반대할 자유를 침탈할 수 있습니다! 비혼출산 아이들 동성혼 입양아 대리모 자녀들의 입장에 대해 취재하여 주시기 바랍니다!!
1339,"자본주의폐해를 비난하는 자들이, 그 폐해로 생긴 ‘경제만능’을 똑같이 주장한다는 것이 아이러니! 혼외출산을 개방하면서 이혼율까지 수직증가하는 유럽을 보면서도 아무 생각이 없는가! 아이를 키워본 부모들은 안다. 아기때 몸은 힘들지만, 열이라도 키울 수 있을 정도로 예쁘기만 하다! 그러나 유아기, 청소년기 거치며 아이는 부모 맘대로가 아닌 독립적인 인격체로서 정체성을 고민하며 성장한다. 부모도 ,아이도 몸살하며 정체성을 찾아가는 것! 한부모,입양아이도 잘 자라지만..엄마의 일방적 선택으로 아빠부재를 껴안은 아이가 겪을 혼란은 어떻게?"
1340,"이런 개념없는 경제논리가 문젭니다! 정치윤리, 역사윤리, 경제윤리...윤리가 거세되면 우리 인간의 양심은 거침없이 ‘옳지않다!’며 항변합니다. 비혼이 늘어나는 추세라고, 인구절벽이라고, 극심한 자본주의 속에서 나고자랐다고 가정윤리를 해체하자고 하는 주장은 이미 설득력을 잃어버립니다. 기고자가 일본얘기하셨는데, 일본에서 정자기증으로 자란 사람들이 병원상대로 아버지정보 알권리를 주장하고 입법화까지 하려고 한다는 것은 왜 쏙 빼놓으십니까! 언론에 기고문을 올리려면, 최소한 ‘유행’이상의 통찰력을 갖고 주장해야죠!"
1341,비혼 비출산이 낫지 헬조선
1342,웃기고 있네. 진지하게 비혼출산으로 태어난 아기가 좋은 환경에서 제대로 된 교육을 받아 건전한 사회구성원으로 성장할 수 있을거라고 생각하는건가? 사유리 정도의 경제환경과 능력이 없는 사람이면 산모랑 아이 둘다 고통받는 수가 있어. 기존의 전통적 가정 체제는 그럼 인류가 바보라서 만들어냈고 수천년동안 유지해왔던 제도냐? 그게 가장 효율적이고 안정적이니까 그런거지. 이게 싫다면 그냥 안 낳는거지 뭔 비혼출산같은 소리하고 있네. 젊은 세대인데 하나도 공감 안 된다.
1343,하나마나한 소리 할거없고 여성들의 지위가 높아진 밧면 우리나라의 결혼제도는조선시대에 머물러 있어서다.
1344,집값 + 개인 맞춤형 정책 실패가 저출산을 낳은 결과다! 사회가 개개인의 삶의성향을 강요 할 수 없음. 고로 육아정책은 비혼출산 기혼출산 다 허용하고 기업이 모든것을 양보해야 한다!
1345,이게 다 드라마나 미디어에서 플렉싱이니 뭐니 세상을 너무 아름답게 표현해서 그렇다. 너도 나도 외제차 끌고 강남에서 와인 마시고 싶어하지만 현실은 평생 개처럼 굴러도 내 집 하나 장만하기 힘듬. 그러니 실망하고 다 포기하는 거다.
1346,남자에게 모든 경제적인 책임 떠넘기면서 갖가지 요구사항만 많아지는 여자들 꼬라지만 봐도 결혼할 생각 쏙 들어감 .. 차라리 혼자살다 뒤지는게 속편함
1347,성공한 남자 뒤에는 도움을 주는 여자가 있었다. 실패한 남자 뒤에는 꼴페미가 있었다. 젊은이여 기억하라~ㅎ
1348,이미 이 나라는 끝났어..조선족쟁이 외국인 따문화쟁이 재앙이땜에...대한민국은 외국인 조선족에게 먹힐거다..국민은 어디로 가냐고? 자살이나 역차별로 멸종당할거다...
1349,낳아봤자 있는 놈들 종살이 시킬봐에야 안 낳겠다는 심보인 듯~
1350,재앙이가 대한민국을 조선족 외국인들로 채우고 ㅈ ㅍ 졌는디...무슨 결혼이것냐..지상파에서 내보내는 외국인 묻지마미화방송이나 폐지히기 바란다..국민들은 외국인과 이웃할 마음 눈꼽만치도 없다..조선족도...
1351,요즘세상은 철학과인문학이 다시 가치를 발휘하며 자신의 소신과 가치관을 뚜렷이 가지고 자신을 더 존중하고 알아가고 무엇이 나를 행복하게하고 만족된 삶을영위하게 하는지 그런것들에 많은분들이 깨어있는듯 합니다. 결혼은 꼭해야될 이유가 없습니다! 결혼할 시간에 저는 더열심히 자기계발하고 돈버는게 더 옳은듯! 궁핍하면 행복도 없으니요!
1352,한국인 없고 다 중국인 배트남 의나라 되것이다
1353,구라치고 잇네 ㅋㅋㅋ 요즘 초식화로 남자들이 결혼 안할려고 함 ㅋㅋㅋ
1354,피해의식과 열등감이 심한사람은 피해라 여자건 남자건 그것만 피하면 절반은 성공임
1355,어차피 결혼과 육아는 희생이다. 희생할 마음이 기꺼이 드는 상대를 만나고 상대도 똑같은 입장이 아니라면 비혼으로 나를 위한 인샹을 사는 것이 답이지.
1356,"청년정책 있는데 옛날처럼 둘이벌어 하나되자!? 이런 쓰잘데기 없는 개념으로 결혼하는 사람도 없을거고, 청년 이라는 이유로 집주고, 돈주고, 영역을 넓혀주니 견문을 넓히는게 아니고 지들 돈인줄 알고, 빚인줄은 모르며 허영에 차서 있던 애인들 하고도 헤어지는 추세인데 무슨 결혼 ㅋ ㅋ 청년정책 자체가 개념이 없는거지. 넓게보면 일부러 비혼 만들고 인구 줄이려고 하는 수작 같음"
1357,죽어도 독박육아는 싫음. 남자는 사회나가서 일 하고 여자는 집에서 독박육아? 미쳤냐? 어머니 세대들도 울면서 고통으로 버틴 시간들이다. 그래서 절대 비혼임. 사내에 아이 대리고 출근 혹은 기업내부에 유치원 설립. 비혼출산 기혼출산 개인의 선택 장려 혹은 존중!
1358,"나하나 살기도 벅차고, 결혼에 환상을 가진 여자들이 너무 많아서 안된다. 그리고 무조건적으로 결혼과 출산을 강요하는 부모세대들의 ㅈ같은 유교사상도 크다. 내집마련도 힘든마당에 무조건 결혼하고 출산해서 대를 이으라는 말도 안되는 소리때문에 억지로 결혼하고 이혼한다."
1359,"한국의 결혼안하는이유 . 남자 : 내가 모은돈이 없고 경제력이 부족해서 , 여자 : 주변에 돈많은 남자가 없어서"
1360,남자가 노예짓안해주니까 여자가 결혼못하는거 아니겠슴
1361,받는 사랑 좋은것이다. 받았을때 좋은 느낌을 내가 사랑하는 사람도 느끼면 좋지 않을까? 서로를 배려하고 희생하며 먼저 준다고 생각하면 결혼은 행복할 것 같다. 또 목표를 가지고 혼자 사는 것도 행복 할것 같다. 무엇을 선택하던 응원합니다. 다를 뿐이지 틀린건 없으니까요!!
1362,잘 생각했다~ 이딴 나라같지도 않은 곳에서 무슨 애를 키우겠니~ 내입 건사하기도 바쁜데...
1363,"비혼,기혼이 중요한게 아님.경제적 능력 안되면 결혼 하건 안 하건 노후에 비참해짐..기혼도 고독사하는게 현실임.돈 없으면 죽을때도 외롭단거지.돈푼이나 있어야 유산받을려고 수시로 들락날락하면서 수발들지 개털이면 그나마도 없다."
1364,역으로는 70%는 그래도 결혼할 의사가 남아있다는 소리네. 이론적으로 70%가 결혼해서 평균 2명씩 낳고 비혼출산 의사 있는 비혼주의자들이 5명당 1명꼴로만 출산해도 출산율 1.5는 유지된다. 문제는 이 빌어먹을 나라는 표도 안 되는데 그정도도 지원해줄 의사가 없다는거.
1365,결국 남녀의 거리가 많이 멀어진 시기가 한동안 지속 되겠네요. 안타깝습니다.
1366,결혼에 대한 생각이 점점 부정적으로 향하는 것 같네요.. 저도 또한 결혼을 꼭 해야하나라는 생각이 들긴합니다! 결혼에 대한 시각이 밝아질 수 있는 사회가 오면 좋겠네요!
1367,결혼하지말어. 인연은 업이다.
1368,프랑스처럼 결혼말고 동거하는 시대로 가야됨 결혼은 서로에게 족쇄임
1369,하던지 말던지. .
1370,그냥 개하고 살어 ㅋㅋㅋ
1371,좋은 현상입니다. 지금 같은 출산율 추세로라면 300~400년 후 조센징 혈통은 소멸된다던데 인류 전체에게는 진정 축복일 것 같네요.
1372,니인생 니가 사는거니 오지랖 넓게 간섭하지 말라
1373,줄어드는 틈새에 조선족.중국 것들이 겨 들어와 채우고 있으니 개탄스럽다..
1374,인구가 없으니 앞으로 아이들은 중국이나 일본 식민지 영토가 된 나라에서 살게되겠군.....
1375,결혼하고 싶어하는 남자가 43퍼나 되는게 신기함ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 여자는 만나고 싶나보군
1376,섹 기구
1377,여자들 비혼하면서 국가지원으로 연명하지마라. 남자한테 얻어 갈 생각도 말고. 이나라 여자들은 너무 이기적임
1378,인구감소가 걱정된다 ...007은 살인 면허 주는데 난 강간 면허 달라 ...인구적은곳은 어디든 간다 ... 내 나이 이제 60이지만 매일 수십명씩 30년동안 자신있다 평생 제대로 못한 한을 풀리라...단 낙태 금지법이 있어야한다 오히려 한국인구폭팔을 걱정하라 ...내게 기회만 준다면 중국인구 능가할 자신있다
1379,"결국 나는 외로울 뿐이다. 가족 안에서 싸우고 사랑하며 사는것이 인간이 가진 기본적인 욕구이자 본능이다. 인간은 경쟁하며 살아야하기 때운에 비교하게 되고, 자극이 된다. 혼자는 결국 욕구 불만과 불안, 공허에 휩싸이게 된다."
1380,여성분들 결혼 더럽게 안할려고 하네..결혼 할것? 남자의 반이네사회.교육 평등인데..부부생활 철저한 불평등이니 ㅋㅋ
1381,결혼 안 할거면 군대 가. 애도 안 낳는데 왜 군대 안 가는데. 여자로 태어나서 오지게 꿀 빠네. 직장에서도 힘든 일 전혀 안 하고 다 남자 시키잖아
1382,결혼 안할거면 지원 바라지 마라고?그럼 님들은 출산을 바라지 마라! 결혼 혹은 비혼은 개인의 성향이고 누구도 간섭 할 자격 없음. 나와 자식의 인생은 별개이니. 내가 비혼이라고 해서 자식도 비혼하라고 할 수 없고 결혼하라고 할 수 없음. 개인이 이루고 싶은 방향을 존중 해 줘야하니. 하지만 출산문제는 무조건 여성이 기업이나 사회에서 대접받는게 맞다! 지금까지 결혼이라는 틀 안에서 모든 출산정책이 다 망했잖아! 어떤 사람은 집 때문에 안한다는사람도 있고. 그러니 개개인 성향이다!거기에 맞춤형지원이 답임. 일 하면서 동시육아에 대한지원
1383,남성분들여성분들결혼싫다하니발끈하는거좀봐 ㅋ 갈놈은 다간다. 못가는 너희에문제점이나아시요!
1384,죽어도 비혼임. 비혼도 사회적 팀을 이룰 수 있음. 딴 사람이 날 죽인다고 해도 완강한 비혼임. 비혼출산 기혼출산 기업이 양보해라! 사회적 비용을 기업이 더 내라! 어짜피 기업이 비용을 더 지불 안해서 생긴 결과가 저출산이다! 이번기회에 아예 기업부담을 더 늘려야 한다!
1385,"20~30대까지는 혼자살아도 그리 심각하게 느끼지못하지요. 근데 40대 중반 들어서면서 몸상태가 예전과 같지 않게 달라지고 주위 친구들 가정 이루워서 애들 커가는거 보면서 슬슬 이게 아닌데 멀지 않는 미래에 자신의 모습을 심각하게 생각하게 되죠. 특히 가족, 자식이 없는 노년은 불행으로 다가오는 경우가 아주 높습니다. 요즘 울 아버지 자주하는 말씀이 늙어서 자식없는 사람들 너무 불쌍하고 비참해보이더라 라고 하시더군요. 자식없이 약해진 몸으로 혼자 병원찾는 어른신들보고 하신말씀이더라구요."
1386,여자가 느끼는 불평등지수 1위 남녀차별 70%로 압도적으로 여자들이 차별을 느끼는 나라 1위는 어딜까요?
1387,결혼 안하고 출산율 낮은건 여자들이 이기적이어서 그런거지뭐
1388,"나라빚덩어리 청년수당, 기초연금 폐지하고 1인 중년가구 지원해야지. 세금은 세금대로 내고 최저임금은 사용자꼼수로 그대로며 가장 취약계층임에도 복지혜택은 하나도 없어. 여기서 좀 일하다 실업급여, 저기서 일하다 근로장려금, 무료급식에 탕진하다 늙으면 부부따로 30만원씩 매달 60만원의 기초연금, 노인수당을 왜주나. 감성팔이 현금퍼주기 정체가 뭐야? 서민들 세금수탈한돈 받아서 세금내고 건강보험료내라는거잖아. 이게 범죄지 복지사회냐?"
1389,"1인 월세가 아니면 도시 진입이 불가능하다. 월세, 전세가 너무 올라 노동으로 버티는 게 힘겹다."
1390,"죽을힘을 다해서 하루하루 버티지 못하면 아직도 그런 나라라면 뭐 망한거 아니겠습니까...요즘 어린친구들이 온실속의 화초같은 느낌도 있지만 당연하죠, 문민정부 들어서고 태어난 애들이 상당수인데... 분위기 자체가 바뀐 시대에 태어난 삶들이고 부모들이 그런 삶을 지지해주기 시작한 세대인데, 내가 20대때 인간이하취급받으면서도 버텼으니 너네도 버텨야지는 요즘시대 기준으로는 논리가 없다고 생각합니다. 내가 20대때 인간이하 취급 받았으면 후배들은 인간취급받으며 살 수 있게 만들겠다가 선배된 사람이 가질 생각이 아닐런지..."
1391,"1인 가구가 대세다 모든 행정과 복지, 경제 기준과 집중대상도 바뀌어야 한다"
1392,"결혼은 안하더라도 노후는 준비하고 살아라! 혼자산다고 경제적으로 조금 여유있다고 철마다 여행, 중형차 한대, 명품 하나씩에 최신 스마트폰, 럭셔리 패딩 같은거 사고 남들하는거 본인하고 싶은거 다하고 살면 어차피 답없다!! 핑계는 평생 돈모아도 집못사니 난 내맘대로 쓰고 살란다?? 힐링, 욜로, 소확행, 플렉스?? 근데 돈떨어지면 100% 헬조선타령! 이런 사람들 너무 많아서 글쓴다!! 기존에 잘못된거 비판만 하면 모든게 합리화되는게 아니다!! 특히 2030들 이런경향이 너무심하지!! 세상탓 하더라도 노후는 준비해둬라!"
1393,국가가 원하는 월세로 착실하게 살아가고있네.
1394,향후 20~30년 지나서 더 문재인건 1인가구가 50퍼이상 늘어날 꺼다는 거지 성범죄도 늘어날것이고 출산율은 더 낮아질것이고 늙은이들만 일하고 젊은이는 놀고 노인들만 득실거릴것이고 가진넘과 못가진넘들의 격차는 더 벌어질것
1395,아파트값 못잡으면 결혼도 출산도 없다. 즉 이나라에 더이상 미래는 없다
1396,"그러니까, 그런데 청년주택, 1인 임대주택은 까고. 지금 인구가 순감하는 경계에 있는데 집 값이 미쳐서 오르는 게 니들도 신기하지 않니? 빚으로 집 사도록, 평생 모은 돈으로 집 사도록 시장투기, 조작과 담합으로 불노소득 챙기는 인성쓰레기들. 그 불노소득 다 노동자들이 원금으로 이자로 메꾸는게 정상이냐?"
1397,월세ㄷㄷ ㅠㅠ 좀 어떠케 해바여ㅠ
1398,문가의 정부에서는 집값 걱정 안해도 된다고 했다. 곧 무료 임대주택이 나올것이다. 공짜야! ㅎ ㅎ 삯월세가 아니고 사글세가 됐네요! 왜 이렇게 됐을까?
1399,이런 상태인데 무슨 애를 낳으라는건지. 애 낳고 어떻게 살쥬?
1400,문재인 정권 3년도 안됐는데 10년은 더 땡겨졌네
1401,"정부,여당은 아마 이 분들이 월세가 좋아서 월세 살고 있는 줄 알겠지?"
1402,응 180석 든든하네 꺼어억. 니들이 뽑은거잖아^^ 노인분들이야 안타깝지만 20대 30대는 자기들이 뽑아놓고 죽는소리하냐 ㅋㅋㅋㅋㅋㅋㅋ 수십년전부터 좌파는 똑같은 소리해댔다. 그리고 그들이 타겟으로 잡는 지지층도 또같았고 ^^ 계층 사다리타고 올라가면 우파 지지자된다고 사다리 걷어차는 정책만 내놓는 사람들 자기들 손으로 뽑아놓고는 ㅋㅋ 깨문이였던 사람들은 평생 월세 전전하며 살는게 맞지않음? 공공임대 호텔방에서 아이키우면 참 좋겠네^^ 자유민주주의 국가에서 자기 권리를 인기투표하듯 마구잡이로 행사하면 이리되는거임
1403,취직 힘들어서 결혼 못하고 혼자 월세사는거 문재인 업적이지.
1404,전세없애 집값올려 대출막아 월세뿐이 더 있노?믄재앙이 문제다!
1405,저도 1인가구인데 한국에서는 집주인에게 월세를 주거나 아니면 은행에 원리금상환하거나 둘중의 하나밖에 없죠.추운날 화이팅^^
1406,근대 정말 10가구중에 8 가구가 연소득이 3천만 미만 이거 맞는기사인가요?
1407,"선진국 문턱에서 올라가지 못하는 대한민국의 주택정책,, 국민들의 삶이 힘들어지는데도 문정부는 월세살이하는 서민들에게는 내 몰라라하는 것은.. 문정부의 주택정책이 실폐했고, 고위직과 자신들의 편들만 사는 세상을 꿈꾸는 모양세는 정말 싫다..."
1408,북한 닮아가네 한번도 경험해 보지 못했다.....
1409,월세는 1%대로 하면된다.저렴하게 하자.
1410,전국에 3000만주택 짓고 1인 1가구 매달 100만원 최저생계비 주거라 재원은 다주택자에게 세금 걷고 부유세 걷으면 해결된다
1411,딱 문재인 정부가 바라는 모습. 자가 없이 공공임대에서 월세나 내면서 빌빌거리며 사는 거!!!!!!!!!!!!!!!!!!
1412,저것들. 노인되면 나라에서. 먹여살리겠지. 편하게 거지처럼 혼자 살아라
1413,20-30대 사회초년생들 월세살이하면 돈 안모인다고 은행권 대출 받아 전세들어갔더니 전세사기먹고 월세는 자꾸 올라만가고 1인가구 하고싶어도 무서워서 못하겟다 에휴
1414,정부여당의 정책 덕분에 월세 인상됩니다..힘들죠 ?
1415,혼자살면 당연히 주거비 부담되는건 세상다아는 상식아닌가 본인이 선택한걸 누굴 탓하나
1416,혼자살다 고독사가 제일 슬프지
1417,이정부는. 서로 국민들 끼리. 싸우는. 정치 잘한다나는 웃기는 것얼굴 못난이 남자 돈이 50억 100억. 자산가 이쁜여자들이 50명정도 데시 그리고 남자는 마음데로 골라그리고 지금20세 너희들 부모 원망 해라98년. 99년. 돈 3천만원 주식 투자 100억버는것 기본. 1억주식. 300억 잭팟 그때 너희들 부모 무엇했니
1418,절망하지 마세요 .. 집장만 하기 어려운 것은 사실입니다 너무나도 그렇다고 사회에 불만만 가득 안고 살아간다면 주의 평판 정말 안좋습니다 다 그래요 저도 그랬으니 저도 1인가구 독거싱글입니다 ( 카고 )
1419,능력있으면 남자고 여자고 혼자사는거다~! 결혼은 선택이지 필수가 아님
1420,사유리씨 선택에 공감입니다. 뉴스기사 보면 어처구니없고 가슴아픈 사건들이 많은데 부모의 불화로 아이들이 불안한것 보다는 진중하고 능력있고 책임감 있는 한부모가 더 좋을 것 같습니다. 한부모곁에서 도와줄 조부모와 좋은 친구들이 많으면 좋겠네요
1421,"연애는 사랑,애착,감정으로 하지만 결혼은 본질적으로 조건,능력,비즈니스임. 이미 미국/유럽에서는 신생아 둘중한명이 혼외출산이고 oecd 평균은 40퍼에 육박함. (한국 2~3퍼) 부모님의 불화/갈등으로 인해 억울하게 살해당하는 것보다는 합리적이고 올바른 결정이라고 봅니다."
1422,혼자 사는데도 자기 몸 하나 먹고 살기 힘들면 그건 게으른거고...자기 혼자 먹고 살기 힘들어도 결혼해서 같이 살아도 살 사람은 다 산다...결혼하라 마라 강권도 소용없고 비혼으로 살아라 말아라 할 필요도 없다...
1423,지금 30대라 비혼 괜찮아 보이는데 나중에 늙으면 외로울듯ㅠ
1424,"결혼생활은 생각보다 많이 지루하고, 성실함과 꾸준한 노력이 필요한, 농사와도 같다는 글을 본 적이 있습니다. 결혼에 맞지 않는 사람은 안하는 게 나을 수도 있습니다."
1425,제목이 귀남이 후남이 시대에 나옴직한 문구.ㅜㅜ 결혼을 강권하다는 말이 대체 무슨 뜻임??혹시 결혼을 강제로 권유하다는 뜻인가요?? 그런사람이 요즘엔 없지 않나요? 대단히 시대착오적인 문구네요.
1426,비추 일하고 집오면애둘 뒷치닥 식모살이 몇년하니매일매일자살충동느낍니다.내아들은 혼자살았으면해요이런아빠꼴안나게
1427,구한말에서 타임워프해서 오셨나 요즘 세상에 누가 결혼을 강권하며 강권한다고 먹히는 시대인가요? 뭔 기자가 이렇게 시대를 뒤쳐져가시나 그리고 물론 능력있는 사람이야 한부모가정도 괜찮지만 사유리나 허수경 정도의 레벨있는 사람 아니면 둘이 힘합쳐서 키우기도 힘든데 혼자 무슨 애를 키워요? 객관적으로 한부모가정 자녀와 양부모가정 자녀에 대한 비교 데이터는 찾아보고 하시는 말씀인가요?
1428,요즘 누가 결혼을 누가 강권하나요? 그런 시대는 지나도 아주 한참 지났는데.. 글 쓴 님이 사상이 너무 고루하신 게 보이네요. 아님 과거에서 타임 머신 타고 와서 글 쓴 것 같은...
1429,"글 잘읽었습니다. 요즘의 시대사상이 아버지를 부정적 ‘권위’의 이미지만 씌우는 것은 바람직하지 않지요. 결혼하고 아이를 키우며.....우리나라 아버지들에게 부여된 묵직한 책임감이 그들의 어깨를 얼마나 짓눌러왔을까 생각합니다. 물론 글처럼, 오히려 가족들을 권위적 폭압으로 누른 역기능적 아버지들도 많지만...그들 역시 부모를 통해 아버지의 역할을 제대로 배우지 못한 희생자들이 아닐까 하는 마음이 듭니다. 따라서 중요한 것은, 부모가 되기 전에 가장 많이 공부하며 준비해야 하는것이 ‘부모노릇 제대로 하기’인 것 같습니다."
1430,어머니는 필요 없어도 엄마는 필요하다 라고 하면 난리나겠지?
